Artist,Track,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,speechiness,tempo,,,,,
Gorgon City,4VNQWV2y1E97Eqo2D5UTjx,Hear That,0.0133,0.842,0.823,0.281,11,0.676,-6.35,0.0441,124.99,,,,
Route 94,1dgdvbogmctybPrGEcnYf6,My Love (feat. Jess Glynne),0.000132,0.814,0.622,0.72,8,0.0658,-7.573,0.0492,119.976,,,,
Route 94,1dgdvbogmctybPrGEcnYf6,House & Pressure,0.00454,0.868,0.66,0.205,10,0.0843,-6.079,0.057,125.983,,,,
Route 94,1dgdvbogmctybPrGEcnYf6,Tell You Why,0.0338,0.806,0.501,0.805,3,0.104,-8.915,0.0675,122.999,,,,
Route 94,1dgdvbogmctybPrGEcnYf6,In My Heart,0.00206,0.861,0.698,0.847,11,0.0504,-8.975,0.0496,119.994,,,,
Route 94,1dgdvbogmctybPrGEcnYf6,My Love (feat. Jess Glynne) - Sigma Remix,0.000635,0.519,0.979,0.0151,10,0.118,-2.513,0.0686,174.976,,,,
Route 94,1dgdvbogmctybPrGEcnYf6,House & Pressure - Original Mix,0.000125,0.809,0.672,0.806,10,0.0731,-7.944,0.0572,125.989,,,,
Route 94,1dgdvbogmctybPrGEcnYf6,Caramel,0.115,0.808,0.708,0.621,11,0.0902,-7.175,0.048,125.029,,,,
Route 94,1dgdvbogmctybPrGEcnYf6,My Love (feat. Jess Glynne) - Royal-T Remix,0.0119,0.76,0.751,3.83E-05,1,0.146,-6.804,0.0402,129.989,,,,
Route 94,1dgdvbogmctybPrGEcnYf6,A Brand New Day,0.095,0.812,0.56,0.866,11,0.446,-12.606,0.0923,127.995,,,,
Route 94,1dgdvbogmctybPrGEcnYf6,Look Right Through - Route 94 Sun Comes Up Remix,0.0037,0.813,0.818,0.56,7,0.0313,-6.791,0.0502,119.997,,,,
Shift K3Y,26OrZl5U3VNGHU9qUj8EcM,Entirety,0.00313,0.736,0.841,2.29E-05,2,0.0533,-4.023,0.087,125.024,,,,
Shift K3Y,26OrZl5U3VNGHU9qUj8EcM,Touch,0.263,0.758,0.907,1.99E-06,6,0.062,-6.099,0.247,133.042,,,,
Shift K3Y,26OrZl5U3VNGHU9qUj8EcM,Only You,0.0269,0.724,0.866,1.13E-06,2,0.496,-4.96,0.0423,125.003,,,,
Shift K3Y,26OrZl5U3VNGHU9qUj8EcM,Jumanji - Shift K3Y Remix,0.0223,0.811,0.903,0.00036,10,0.0456,-4.598,0.166,126.018,,,,
Shift K3Y,26OrZl5U3VNGHU9qUj8EcM,Satisfied (feat. MAX) - Shift K3Y Remix,0.00535,0.765,0.754,0.000217,1,0.231,-5.673,0.0839,128.025,,,,
